system,gpu,gpu_ram,test,dataset,batch,elapsed_time_sec,peak_mem_G
windows,rtx2060,6,cifar10_train.py,cifar10,64,476.8,6
m1max,24,32,cifar10_train.py,cifar10,64,493.1,2.2
m2max,38,96,cifar10_train.py,cifar10,64,361.5,2.2
windows,rtx2060,6,cifar10_train.py,cifar10,128,414.6,6
m1max,24,32,cifar10_train.py,cifar10,128,422.8,3
m2max,38,96,cifar10_train.py,cifar10,128,331.9,3
windows,rtx2060,6,cifar10_train.py,cifar10,256,375.2,6
m1max,24,32,cifar10_train.py,cifar10,256,405,3.9
m2max,38,96,cifar10_train.py,cifar10,256,317,3.9
windows,rtx2060,6,cifar10_train.py,cifar10,512,348.8,6
m1max,24,32,cifar10_train.py,cifar10,512,399.7,8
m2max,38,96,cifar10_train.py,cifar10,512,310.3,8
windows,rtx2060,6,cifar10_train.py,cifar10,1024,390.1,6
m1max,24,32,cifar10_train.py,cifar10,1024,398.2,16.1
m2max,38,96,cifar10_train.py,cifar10,1024,313.6,16.1
